Content;Author;Date;Language;Location;Number of Likes;Number of Retweets;In Reply To;Author Name;Author Description;Author Tweets Count;Author Following Count;Author Followers Count;Author Listed Count;Author Verified;Longitude;Latitude
12.18 Polri Sat Lantas Jaktim kegiatan pembentukan Pocil ( Polisi Cilik ) di SD Islam Pulo Gadung Jakarta Timur. https://t.co/vEdPiUmCDW;@TMCPoldaMetro;2022-06-11 06:25:36;in;;5;0;;TMC Polda Metro Jaya;Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770;587594;0;8076525;9340;True;;
"06.06 LOKASI PELAYANAN #SIMKELILING Sabtu, 11 Juni 2022 Pukul 08.00 s/d 12.00 Wib :
Jaktim : Mall Grand Cakung. 
Jaksel  : Kampus Trilogi Kalibata.
Jakbar : LTC Glodok &amp; Mall Citraland.
Jakpus : Kantor Pos Lapangan Banteng. https://t.co/3BOXSJ0g7g";@TMCPoldaMetro;30/06/2022 23:07;in;;11;2;;TMC Polda Metro Jaya;Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770;587594;0;8076525;9340;True;;
21.44 Situasi arus lalu lintas Traffic Light Taman Mini Square Jakarta Timur terpantau ramai lancar https://t.co/70KbL9z4VX;@TMCPoldaMetro;2022-06-10 14:43:20;in;;2;1;;TMC Polda Metro Jaya;Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770;587594;0;8076525;9340;True;;
19.33 Situasi arus lalu lintas di Jl. D.I Panjaitan Jaktim menuju arah Cipinang maupun arah Kalimalang terpantau ramai lancar. https://t.co/ZSKZQO5yB6;@TMCPoldaMetro;2022-06-10 12:33:00;in;;5;1;;TMC Polda Metro Jaya;Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770;587594;0;8076525;9340;True;;
17.04 Situasi arus lalu lintas di Traffic Light Garuda (Tamini Square) Jaktim terpantau padat. https://t.co/HyclcKaPJJ;@TMCPoldaMetro;2022-06-10 10:05:21;in;;10;1;;TMC Polda Metro Jaya;Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770;587594;0;8076525;9340;True;;
16.10 Situasi arus lalu lintas di Traffic Light PGC Cililitan Jaktim menuju arah Jl. Raya Bogor terpantau ramai lancar. https://t.co/4xdE7QcKkW;@TMCPoldaMetro;2022-06-10 09:10:00;in;;3;1;;TMC Polda Metro Jaya;Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770;587594;0;8076525;9340;True;;
10.12 Unit Dikyasa Sat Lantas Jakarta  Timur dalam rangka pembentukan Pocil ( Polisi Cilik ) melakukan pelatihan baris berbaris kepada siswa/i di SD Islam Pulo Gadung Jaktim. https://t.co/soBzZjouXN;@TMCPoldaMetro;2022-06-10 03:12:00;in;;5;1;;TMC Polda Metro Jaya;Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770;587594;0;8076525;9340;True;;
10.01 Satlantas Jakarta Timur melakukan sosialisasi dan pemasangan spanduk dalam rangka Operasi Kepolisian Patuh Jaya 2022 di Traffic light Pasar Rebo Jaktim yg akan dilaksanakan pada tanggal  13 s/d 26 Juni 2022. https://t.co/veD6c9siKz;@TMCPoldaMetro;2022-06-10 03:01:00;in;;15;1;;TMC Polda Metro Jaya;Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770;587594;0;8076525;9340;True;;
09.42 Dalam rangka Jum'at Berkah, Sat Lantas Jaktim membagikan sembako kepada masyarakat di kawasan Traffic light Garuda Taman Mini Jaktim. https://t.co/fFSYIcDzSg;@TMCPoldaMetro;2022-06-10 02:44:41;in;;5;1;;TMC Polda Metro Jaya;Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770;587594;0;8076525;9340;True;;
09.38 Polri Sat Lantas Jakarta Timur memberikan teguran dan imbauan kepada pengendara R4 di Jalan  Pramuka s/d Matraman Jakarta  Timur terkait penambahan titik ruas jalan penerapan kebijakan GAGE. https://t.co/Q8412BnlIF;@TMCPoldaMetro;2022-06-10 02:39:09;in;;3;1;;TMC Polda Metro Jaya;Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770;587594;0;8076525;9340;True;;
