Content,Author,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Tweets Count,Author Following Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude
string,discrete,time,in zxx qme,discrete,continuous,continuous,discrete,discrete,string,continuous,continuous,continuous,continuous,discrete,continuous,continuous
meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta
"10.39 Situasi arus lalu lintas di Ruas Tol Jakarta-Tangerang KM 03+000 menuju arah Tomang terpantau padat, sedangkan arah Sebaliknya terpantau ramai lancar. https://t.co/Yavks7Bqi5",@TMCPoldaMetro,2022-06-28 03:39:00,in,,1.0,1.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
10.25 Situasi arus lalu lintas di Traffic Light Tomang Jakbar terpantau ramai lancar. https://t.co/EeUwGyZOrd,@TMCPoldaMetro,2022-06-28 03:27:16,in,,1.0,1.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
"10.01 #Polri Satlantas Polresta Bandara Soekarno-Hatta menolong Masyarakat yang mengalami kecelakaan lalu lantas di Kawasan Petamburan Jakbar, Saat ini sudah ditangani dan dibawa ke RS Pelni Petamburan. https://t.co/X7lJr0yjRo",@TMCPoldaMetro,2022-06-28 02:59:36,in,,7.0,2.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
09.59 Situasi arus lalu lintas di Traffic Light Cempaka Putih Jakpus menuju arah Pulogadung maupun arah Kelapa Gading terpantau ramai lancar. https://t.co/2OEYzcVUgi,@TMCPoldaMetro,2022-06-28 02:59:00,in,,1.0,1.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
09.46 Situasi arus lalu lintas di Jl Gatot Subroto Jakpus menuju arah Slipi terpantau padat. https://t.co/Yo7rOHD6Sy,@TMCPoldaMetro,2022-06-28 02:47:37,in,,1.0,2.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
09.31 Situasi arus lalu lintas di Traffic Light Bundaran Pondok Indah Jaksel terpantau ramai lancar. https://t.co/ZgPzWY1f9U,@TMCPoldaMetro,2022-06-28 02:32:07,in,,4.0,1.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
"08.54 Situasi arus lalu lintas di Ruas Tol Dalam Kota KM 02+600 menuju arah Semanggi terpantau padat, sedangkan arah Cawang terpantau ramai lancar. https://t.co/EpQy4zz2Qu",@TMCPoldaMetro,2022-06-28 01:55:12,in,,3.0,1.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
"Lokasi Pelayanan Samsat Keliling JADETABEK Selasa, 28 Juni 2022. https://t.co/nYjC8pI751",@TMCPoldaMetro,2022-06-28 01:05:22,in,,6.0,2.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
"LOKASI PELAYANAN #SIMKELILING Selasa, 28 Juni 2022 Pukul 08.00 s/d 14.00 Wib :
Jaktim : Mall Grand Cakung. 
Jaksel  : Kampus Trilogi Kalibata.
Jakbar : LTC Glodok &amp; Mall Citraland.
Jakpus : Kantor Pos Lapangan Banteng. https://t.co/rjW796Dpdm",@TMCPoldaMetro,2022-06-27 23:35:14,in,,12.0,5.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
"02.30 Telah terjadi Out of Control, kendaraan minibus B 2764 BZT menabrak pembatas jalan di Jl. Gatot Subroto, dan sudah dalam penanganan petugas #Polri https://t.co/BV8sFtagzs",@TMCPoldaMetro,2022-06-27 20:44:54,in,,21.0,7.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
22.42 Situasi arus lalu lintas di Tol Dalam Kota Pancoran dan Jarteri Jl. Gatot Subroto dari Semanggi darah Cawang ataupun sebaliknya terpantau ramai lancar di malam hari ini. https://t.co/xFhQYklVo8,@TMCPoldaMetro,2022-06-27 15:42:01,in,,4.0,0.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
22.40 Situasi arus lalu lintas di Tl. Garuda Pinang Ranti dari Hek / Kramat Jati mengarah Taman Mini dan Pondok Gede ataupun sebaliknya terpantau ramai lancar di malam hari ini. https://t.co/m7yyORRkA2,@TMCPoldaMetro,2022-06-27 15:40:44,in,,3.0,1.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
22.39 Situasi arus lalu lintas di sekitaran Bundaran HI Menteng Jakpus dari Sudirman / Senayan mengarah Thamrin / Monas ataupun sebaliknya terpantau ramai lancar. https://t.co/2VFawugz8P,@TMCPoldaMetro,2022-06-27 15:39:38,in,,6.0,0.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
Sebagian wilayah DKI Jakarta mulai diguyur hujan. Tetap hati-hati dan waspadai jarak pandang terbatas https://t.co/sKfXQsHnsa,@TMCPoldaMetro,2022-06-27 14:18:22,in,,6.0,0.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
19.05 Situasi arus lalu lintas Traffic Light Pasar Rebo Jakarta Timur terpantau ramai lancar https://t.co/KjZ8QyLIg8,@TMCPoldaMetro,2022-06-27 12:04:48,in,,12.0,0.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
18.33 Situasi arus lalu lintas Traffic Light Tugu Tani Jakarta Pusat terpantau ramai lancar https://t.co/HGh8h99zfa,@TMCPoldaMetro,2022-06-27 11:32:50,in,,4.0,0.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
16.42 Situasi arus lalu lintas Exit Tol Kebon Bawang terpantau lancar https://t.co/0sZph8V08Z,@TMCPoldaMetro,2022-06-27 09:41:55,in,,8.0,2.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
15.53 Situasi arus lalu lintas Traffic Light Emporium Pluit Jakarta Utara terpantau ramai lancar https://t.co/jkHLKsGVPf,@TMCPoldaMetro,2022-06-27 08:52:30,in,,11.0,1.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
"Bagi Pengendara, hormati pengguna jalan lain dengan tidak menghisap Rokok sembari berkendara. https://t.co/4qmRoZMOBW",@TMCPoldaMetro,2022-06-27 07:47:20,in,,5.0,1.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
13.57 Situasi arus lalu lintas Traffic Light Bundaran Patung Kuda Jakarta Pusat terpantau ramai lancar https://t.co/XLmXCuJaIG,@TMCPoldaMetro,2022-06-27 06:56:41,in,,8.0,2.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
https://t.co/vQ83NbAQy5,@TMCPoldaMetro,2022-06-27 06:38:43,zxx,,8.0,1.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
12.54 Situasi arus lalu lintas Traffic Light Asia Afrika Jakarta Pusat terpantau ramai lancar https://t.co/1WsDsRuQuC,@TMCPoldaMetro,2022-06-27 05:53:43,in,,8.0,2.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
https://t.co/EaELQAvXMn,@TMCPoldaMetro,2022-06-27 04:57:19,zxx,,15.0,2.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
11.21 Situasi arus lalu lintas Traffic Light Kebon Sirih Jakarta Pusat terpantau ramai lancar https://t.co/P5kYsk7Opi,@TMCPoldaMetro,2022-06-27 04:20:45,in,,6.0,0.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
10.53 Situasi arus lalu lintas Traffic Light Fatmawati Jakarta Selatan terpantau ramai lancar https://t.co/lL6UJtVlsl,@TMCPoldaMetro,2022-06-27 03:52:41,in,,16.0,1.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
10.24 Polri Sat Lantas Jaktim melakukan kegiatan Himbauan Kamseltibcarlantas kepada pengemudi Jak Lingko di Jl.Cililitan Besar Jakarta Timur https://t.co/gh0tZT95IC,@TMCPoldaMetro,2022-06-27 03:24:18,in,,8.0,3.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
09.48 Situasi arus lalu lintas Traffic Light Grogol Jakarta Barat terpantau ramai lancar https://t.co/EKHRgU99ZB,@TMCPoldaMetro,2022-06-27 02:47:58,in,,7.0,1.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
09.12 Situasi arus lalu lintas Traffic Light Cokro Jakarta Pusat terpantau ramai lancar https://t.co/WIpxjrjWa8,@TMCPoldaMetro,2022-06-27 02:13:06,in,,7.0,4.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
08.37 Situasi arus lalu lintas Traffic Light Cengkareng Jakarta Barat terpantau ramai lancar https://t.co/npgP0Ax1vY,@TMCPoldaMetro,2022-06-27 01:36:07,in,,5.0,1.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
"07.58 Situasi arus lalu lintas di Ruas Tol Jakarta-Cikampek KM 01+000 menuju arah Cawang terpantau padat, sedangkan arah Sebaliknya terpantau ramai lancar. https://t.co/DhPtShxgmY",@TMCPoldaMetro,2022-06-27 00:58:00,in,,6.0,1.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
07.43 Situasi arus lalu lintas di Traffic Light PGC Cililitan Jaktim menuju arah Jl. Raya Bogor terpantau ramai lancar. https://t.co/1EcbAq5co7,@TMCPoldaMetro,2022-06-27 00:43:38,in,,5.0,1.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
07.19 Satlantas Jaktim melaksanakan Pengaturan lalu lintas di depan Grand Cakung Jaktim serta menghimbau dan mengarahkan kpd Pengguna Jalan agar menggunakan Jalan Tol Cakung-Kelapa Gading untuk mengurangi Kepadatan di Jalur Arteri Jl. Raya Bekasi Cakung Cilincing arah Pulogadung. https://t.co/YXcLN2Nmmy,@TMCPoldaMetro,2022-06-27 00:22:08,in,,12.0,5.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
"Lokasi Pelayanan Samsat Keliling JADETABEK Senin, 27 Juni 2022. https://t.co/NSMOLznZdx",@TMCPoldaMetro,2022-06-27 00:00:01,in,,6.0,5.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
06.46 Situasi arus lalu lintas di Traffic Light Tugu Tani Jakpus menuju arah Jl. Medan Merdeka Selatan terpantau ramai lancar. https://t.co/R46JRzcvyV,@TMCPoldaMetro,2022-06-26 23:46:00,in,,9.0,3.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
06.35 Situasi arus lalu lintas di Traffic Light Fatmawati Jaksel menuju arah Cilandak maupun arah Panglima Polim terpantau ramai lancar. https://t.co/gCFMDIjyiM,@TMCPoldaMetro,2022-06-26 23:35:00,in,,3.0,0.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
06.22 Situasi arus lalu lintas di Traffic Light Halim Lama Jl. D.I Panjaitan  Jaktim menuju arah Cipinang terpantau ramai lancar. https://t.co/hMe5muKIML,@TMCPoldaMetro,2022-06-26 23:22:00,in,,8.0,1.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
06.11 Situasi arus lalu lintas di Jl. MT Haryono Jaktim menuju arah Pancoran terpantau ramai lancar. https://t.co/aFF4KJStWl,@TMCPoldaMetro,2022-06-26 23:11:28,in,,5.0,1.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
06.04 Situasi arus lalu lintas di Traffic Light Rindam Jl. TB Simatupang Jaktim terpantau ramai lancar. https://t.co/DhJyOb3nDo,@TMCPoldaMetro,2022-06-26 23:04:56,in,,4.0,0.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
"LOKASI PELAYANAN #SIMKELILING Senin, 27 Juni 2022 Pukul 08.00 s/d 14.00 Wib :
Jaktim : Mall Grand Cakung. 
Jaksel  : Kampus Trilogi Kalibata.
Jakbar : LTC Glodok &amp; Mall Citraland.
Jakpus : Kantor Pos Lapangan Banteng. https://t.co/c6164I0OU8",@TMCPoldaMetro,2022-06-26 22:50:00,in,,4.0,4.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
05.32 Situasi arus lalu lintas di Traffic Light Slipi Jakbar terpantau lancar. https://t.co/j6c5DyFTH8,@TMCPoldaMetro,2022-06-26 22:32:32,in,,7.0,1.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
"Apabila mengantuk beristirahatlah segera, jangan paksakan berkendara. Keselamatan ANDA adalah yang UTAMA.
https://t.co/hkOanI7VlQ",@TMCPoldaMetro,2022-06-26 16:43:33,in,,11.0,1.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
21.31 Situasi arus lalu lintas di Traffic light Asia Afrika Senayan terpantau ramai lancar. https://t.co/PP5USZnp3t,@TMCPoldaMetro,2022-06-26 14:31:32,in,,9.0,1.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
21.22 Situasi arus lalu lintas di Traffic light Fatmawati Jaksel menuju arah Pondok Labu/Ragunan terpantau lancar. https://t.co/l8WivOsNrm,@TMCPoldaMetro,2022-06-26 14:23:02,in,,8.0,0.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
Bagi Pesepeda diimbau agar menggunakan lampu tambahan di malam hari utk mencegah kecelakaan lalu lintas. https://t.co/Hq0gNG0Z,@TMCPoldaMetro,2022-06-26 13:17:58,in,,5.0,0.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
18.53 Situasi arus lalu lintas terkini di Tol Pelabuhan Ancol menuju Pluit / Bandara dan sebaliknya menuju Ancol dan Pelabuhan Tj. Priok terpantau lancar. https://t.co/pNfSCXQqNe,@TMCPoldaMetro,2022-06-26 11:53:31,in,,4.0,0.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
